200	106.13
400	106.17
600	106.10
800	100.04
1000	97.45
1200	97.56
1400	97.92
1600	97.67
1800	97.33
2000	97.37
2200	98.09
2400	97.45
2600	97.30
2800	97.33
3000	96.96
3200	97.10
3400	97.18
3600	97.27
3800	97.17
4000	96.86
4200	97.41
4400	97.32
4600	97.64
4800	97.49
5000	97.57
5200	97.15
5400	97.22
5600	97.17
5800	97.50
6000	97.82
6200	97.71
6400	97.58
6600	97.19
6800	97.48
7000	97.33
7200	97.37
7400	96.92
7600	97.04
7800	97.32
8000	97.17
8200	97.03
8400	96.96
8600	97.26
8800	97.27
9000	96.90
9200	97.08
9400	97.49
9600	97.42
9800	97.17
10000	97.01
10200	96.90
10400	97.16
10600	97.14
10800	97.04
11000	97.38
11200	97.15
11400	97.21
11600	97.14
11800	97.01
12000	97.49
12200	97.51
12400	97.29
12600	97.73
12800	97.08
13000	97.06
13200	97.16
13400	97.29
13600	97.20
13800	97.27
14000	97.15
14200	98.05
14400	97.91
14600	97.97
14800	97.51
15000	97.29
15200	97.30
15400	97.58
15600	97.84
15800	97.40
16000	97.21
16200	98.12
16400	97.42
16600	97.57
16800	97.14
17000	97.28
17200	97.26
17400	97.12
17600	97.26
17800	97.40
18000	97.46
18200	97.37
18400	97.25
18600	97.64
18800	97.52
19000	97.41
19200	97.29
19400	97.32
19600	98.20
19800	98.06
20000	97.66
20200	97.58
20400	97.91
20600	98.02
20800	98.48
21000	99.82
21200	98.33
21400	97.42
21600	97.29
21800	97.63
22000	97.43
22200	97.42
22400	97.77
22600	97.65
22800	97.65
23000	97.47
23200	97.65
23400	97.57
23600	97.60
23800	97.76
24000	97.81
24200	97.70
24400	97.70
24600	98.22
24800	97.72
25000	97.99
25200	97.56
25400	97.49
25600	98.06
25800	97.68
26000	97.39
26200	97.53
26400	97.76
26600	97.64
26800	97.62
27000	97.51
27200	97.67
27400	97.40
27600	97.93
27800	97.60
28000	97.76
28200	98.11
28400	97.81
28600	97.68
28800	97.88
29000	97.48
29200	97.96
29400	98.03
29600	98.08
29800	97.86
30000	98.18
30200	98.25
30400	98.06
30600	97.93
30800	98.35
31000	97.89
31200	97.78
31400	97.93
31600	97.65
31800	97.48
32000	97.82
32200	97.67
32400	97.69
32600	97.82
32800	98.23
33000	98.16
33200	97.90
33400	97.62
33600	97.59
33800	97.62
34000	97.70
34200	97.92
34400	97.68
34600	97.79
34800	97.83
35000	98.03
35200	97.82
35400	97.81
35600	97.79
35800	97.89
36000	97.75
36200	97.99
36400	98.27
36600	97.90
36800	97.79
37000	98.64
37200	97.77
37400	98.14
37600	97.96
37800	98.02
38000	97.85
38200	97.92
38400	97.86
38600	98.05
